seq_id	ormerod_family	genus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||U43697.UniEuba8	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||AY207057.PpmSpe19	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||AY005069.PpmSpe15	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||AY968205.PpmSome2	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||EU414673.PpmBenn2	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||X76259.PpmCang2	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||AB525416.PpmCanor	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas||X76261.PpmCano2	Porphyromonadaceae	Porphyromonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides||AB470343.PbdGordo	Tannerellaceae	Parabacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides||AB238928.PbdMerda	Tannerellaceae	Parabacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides||AB261128.PbdJohns	Tannerellaceae	Parabacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella||AF385565.BcrSpe25	Tannerellaceae	Tannerella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella||AB053944.TanFors2	Tannerellaceae	Tannerella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella||AJ576344.Unc29584	Tannerellaceae	Tannerella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella||AJ576330.Unc29582	Tannerellaceae	Tannerella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella||AB088937.UncB2855	Tannerellaceae	Tannerella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides||AB088924.UncB2829	Tannerellaceae	Tannerella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides||AB238922.PbdDist3	Tannerellaceae	Tannerella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Paludibacter||AB078842.PadPropi	Paludibacteraceae	Paludibacter
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Paludibacter||U81722.Unc26946	Paludibacteraceae	Paludibacter
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes||AB490804.AtpIndis	Rikenellaceae	Alistipes
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes||AY538696.BcrSpe12	Rikenellaceae	Alistipes
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes||AY643083.AtpFine4	Rikenellaceae	Alistipes
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Mangroviflexus||HQ697914.MgfXiame	Marinilabiliaceae	Mangroviflexus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Alkalitalea||HQ191474.AkaSapon	Marinilabiliaceae	Alkalitalea
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Natronoflexus||GQ922844.NrfPecti	Marinilabiliaceae	Natronoflexus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Geofilum||AB362265.GflRubic	Marinilabiliaceae	Geofilum
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Thermophagus||DQ517535.TegXiame	Marinilabiliaceae	Thermophagus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Marinilabilia||AB517713.MlbSalm2	Marinilabiliaceae	Marinilabilia
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Marinilabilia||AB680721.MlbSalm3	Marinilabiliaceae	Marinilabilia
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter||AY134906.BcdSpec5	Marinifilaceae	Odoribacter
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter||AB088919.UncB2844	Marinifilaceae	Odoribacter
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter||AB490805.OdbLaneu	Marinifilaceae	Odoribacter
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Marinifilum||AB015260.UncCyto2	Marinifilaceae	Marinifilum
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiaceae|Marinifilum||FJ394546.MnfFragi	Marinifilaceae	Marinifilum
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Proteiniphilum||AF129860.Unc26856	Dysgonamonadaceae	Proteiniphilum
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Proteiniphilum||U81730.Unc26931	Dysgonamonadaceae	Proteiniphilum
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||AJ576327.Unc29599	Dysgonamonadaceae	Dysgonomonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||AJ318147.Unc29096	Dysgonamonadaceae	Dysgonomonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||AJ318126.Unc29086	Dysgonamonadaceae	Dysgonomonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||Y18530.DysGade2	Dysgonamonadaceae	Dysgonomonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||AJ576373.Unc29588	Dysgonamonadaceae	Dysgonomonas
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Dysgonomonas||AJ576361.Unc29604	Dysgonamonadaceae	Dysgonomonas
